"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"4740";"HAUNTED MANSION";"MANSÃO MAL ASSOMBRADA";"2003";"ROB MINKOFF";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"07-JAN-03"
"1639";"MONIQUE";"MONIQUE";"2001";"VALÉRIE GUIGNABODET";"MOVIE STAR DO BRASIL ENTRETENIMENTO E LAZER LTDA.";"04.658.426/0001-98";"13-FEB-03"
"7194";"ALEX AND EMMA";"ALEX E EMMA";"2003";"ROB REINER";"IMAGEM FILMES PRODUTORA LTDA";"02.736.672/0001-95";"21-JUL-03"
"16250";"AMERICAN SPLENDOR";"ANTI-HERÓI AMERICANO";"2003";"ROBERT PULCINI";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"10-JUL-09"
"7340";"ROLLI JA METSANHENKI";"ROLLI - NA TERRA DOS ELFOS";"2001";"OLLI SAARELAN";"ELIMAR PRODUÇÕES ARTÍSTICAS LTDA";"28.026.565/0001-67";"30-APR-04"
"11061";"WICKER PARK";"PAIXÃO A FLOR DA PELE";"2004";"PAUL MCGUIGAN";"PLAYARTE CINEMAS LTDA.";"60.434.149/0001-00";"23-SEP-04"
"13359";"INCONSCIENTES";"INCONSCIENTES";"2004";"JOAQUIM ORISTRELL";"ART FILMS S/A";"33.353.327/0001-04";"08-NOV-04"
"5800";"SNOW WALKER, THE";"ANDANDO NA NEVE";"2004";"CHARLES MARTIN SMITH";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"23-FEB-05"
"11940";"VOCES INOCENTES";"VOZES INOCENTES";"2005";"LUIS MANDOKI";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"23-MAR-05"
"10916";"INSTINTO NOTURNO";"INSTINTO NOTURNO";"1997";"WAGNER STANLAY LUZ DE MIRANDA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"25-AUG-05"
"15121";"LA MUJER DE MI HERMANO";"A MULHER DO MEU IRMÃO";"2005";"RICARDO DE MONTREUIL";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"04-JAN-06"
"15185";"WHEN A STRANGER CALLS";"QUANDO UM ESTRANHO CHAMA";"2006";"SIMON WEST";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-MAR-06"
"28881";"STAY ALIVE";"STAY ALIVE - JOGO MORTAL";"2006";"WILLIAM BRENT BELL";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"25-JUL-06"
"8812";"LA BATAILLE D'ALGER";"BATALHA DE ARGEL";"1966";"GILLO PONTECORVO";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"27-JUN-05"
"15273";"THE EMPEROR'S NEW CLOTHES";"AS NOVAS ROUPAS DE NAPOLEÃO";"2002";"ALAN TAYLOR";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"13-AUG-02"
"132917";"SCHATTEN DER ZEIT";"SOMBRAS DO PASSADO";"2004";"FLORIAN GALLENBERGER";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"18-OCT-06"
"15007609";"MARIE ANTOINETTE";"MARIA ANTONIETA";"2006";"SOFIA COPPOLA";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"06-NOV-06"
"15009350";"HAPPY FEET";"HAPPY FEET: O PINGUIM";"2006";"JUDY MORRIS";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"10-NOV-06"
"150388";"SHOWDEBOLA";"SHOWDEBOLA";"2005";"ALEXANDER PICKL";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"09-JAN-07"
"197843";"THE BUBBLE";"A BOLHA";"2006";"EYTAN FOX";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"11-JUL-07"
"213223";"JOGO DE CENA";"JOGO DE CENA";"2007";"EDUARDO DE OLIVEIRA COUTINHO";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"04-DEC-07"
"457590";"O GRÃO";"O GRÃO";"2007";"PETRUS CARIRI MAIA DE MOURA";"USINA DIGITAL DISTRIBUIDORA DE FILMES LTDA";"04.236.555/0001-98";"16-JUL-10"
"219031";"KID BENGALA VOLUME 4";"KID BENGALA VOLUME 4";"2005";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"10-JUN-09"
"221984";"ONE MISSED CALL";"UMA CHAMADA PERDIDA";"2007";"ERIC VALETTE";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"28-JAN-08"
"16005624";"DELIRIOUS";"DELIRIOUS";"2006";"BERTRAND TOM DICILLO";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"28-DEC-07"
